record_id,title,authors,year,venue_or_source,source_type,workflow_stage,why_seed,url
S001,A survey of context in neural machine translation and its evaluation,Sheila Castilho; Rebecca Knowles,2024,Natural Language Processing,peer-reviewed survey,document-level/context/evaluation,Target-journal-relevant survey that links context in NMT with LLMs and evaluation,https://www.cambridge.org/core/journals/natural-language-processing/article/survey-of-context-in-neural-machine-translation-and-its-evaluation/875C3E2DEAAB8845A0F05988D5A18B55
S002,Large Language Models Are State-of-the-Art Evaluators of Translation Quality,Tom Kocmi; Christian Federmann,2023,EAMT,peer-reviewed conference,quality assessment/evaluation,Introduces GEMBA and LLM-based translation quality assessment,https://aclanthology.org/2023.eamt-1.19/
S003,GEMBA-MQM: Detecting Translation Quality Error Spans with GPT-4,Tom Kocmi; Christian Federmann,2023,WMT,peer-reviewed conference,quality assessment/error spans,Important GPT-4/MQM quality estimation work with reproducibility caveats,https://aclanthology.org/2023.wmt-1.64/
S004,Leveraging GPT-4 for Automatic Translation Post-Editing,Vikas Raunak et al.,2023,Findings of EMNLP,peer-reviewed conference,automatic post-editing,Formalizes direct translation post-editing with GPT-4,https://aclanthology.org/2023.findings-emnlp.804/
S005,Guiding Large Language Models to Post-Edit Machine Translation with Error Annotations,Dayeon Ki; Marine Carpuat,2024,Findings of NAACL,peer-reviewed conference,automatic post-editing/error annotation,Uses MQM-style error annotations to guide LLM post-editing,https://aclanthology.org/2024.findings-naacl.265/
S006,Large Language Models Effectively Leverage Document-level Context for Literary Translation but Critical Errors Persist,Marzena Karpinska; Mohit Iyyer,2023,WMT,peer-reviewed conference,document-level translation/human evaluation,Shows document-level benefits and persistent critical errors across many language pairs,https://aclanthology.org/2023.wmt-1.41/
S007,Contextual Refinement of Translations: Large Language Models for Sentence and Document-Level Post-Editing,Sai Koneru; Miriam Exel; Matthias Huck; Jan Niehues,2024,NAACL,peer-reviewed conference,contextual post-editing,Relevant to sentence/document-level LLM post-editing,https://aclanthology.org/2024.naacl-long.148
S008,Comparative Evaluation of Large Language Models for Linguistic Quality Assessment in Machine Translation,Sinitsyna; Savenkov,2024,AMTA,peer-reviewed conference,linguistic quality assessment,Compares multiple LLMs for MQM-style LQA workflows,https://aclanthology.org/2024.amta-presentations.12/
S009,Automatic Post-Editing of MT Output Using Large Language Models,Blanca Vidal; Albert Llorens; Juan Alonso,2022,AMTA,peer-reviewed conference/presentation,automatic post-editing/terminology,Early GPT-3 use case for post-editing NMT output and glossary-based terminology control,https://aclanthology.org/2022.amta-upg.7/
S010,Domain Terminology Integration into Machine Translation: Leveraging Large Language Models,Yasmin Moslem; Gianfranco Romani; Mahdi Molaei; John D. Kelleher; Rejwanul Haque; Andy Way,2023,WMT,peer-reviewed conference,terminology/automatic post-editing,Uses LLMs for synthetic bilingual terminology data and terminology-constrained post-editing,https://aclanthology.org/2023.wmt-1.82/
S011,Error Analysis Prompting Enables Human-Like Translation Evaluation in Large Language Models,Qingyu Lu; Baopu Qiu; Liang Ding; Kanjian Zhang; Tom Kocmi; Dacheng Tao,2024,Findings of ACL,peer-reviewed conference,quality assessment/error analysis,Uses MQM-inspired error analysis prompting for explainable MT evaluation,https://aclanthology.org/2024.findings-acl.520/
S012,MQM-APE: Toward High-Quality Error Annotation Predictors with Automatic Post-Editing in LLM Translation Evaluators,Qingyu Lu; Liang Ding; Kanjian Zhang; Jinxia Zhang; Dacheng Tao,2025,COLING,peer-reviewed conference,quality assessment/automatic post-editing,Connects LLM error annotation with post-editing-based filtering,https://aclanthology.org/2025.coling-main.374/
S013,IRB-MT at WMT25 Terminology Translation Task: Metric-guided Multi-agent Approach,Ivan Grubisic; Damir Korencic,2025,WMT,peer-reviewed conference,terminology/multi-agent workflow,LLM-based multi-agent terminology revision workflow with custom terminology metric,https://aclanthology.org/2025.wmt-1.110/
S014,The LegISTyr Test Set: Investigating Off-the-Shelf Instruction-Tuned LLMs for Terminology-Constrained Translation in a Low-Resource Language Variety,Paolo Di Natale; Egon W. Stemle; Elena Chiocchetti; Marlies Alber; Natascia Ralli; Isabella Stanizzi; Elena Benini,2025,TermTrends,peer-reviewed conference,terminology/low-resource translation,Compares instruction-tuned LLMs and NMT systems for terminology-constrained low-resource translation,https://aclanthology.org/2025.termtrends-1.1/
S015,LangMark: A Multilingual Dataset for Automatic Post-Editing,Diego Velazquez; Mikaela Grace; Konstantinos Karageorgos; Lawrence Carin; Aaron Schliem; Dimitrios Zaikis; Roger Wechsler,2025,ACL,peer-reviewed conference,dataset/automatic post-editing,Large multilingual human-annotated APE dataset and few-shot LLM APE evaluation,https://aclanthology.org/2025.acl-long.1569/
S016,Enhancing Large Language Models for Document-Level Translation Post-Editing Using Monolingual Data,Zongyao Li; Zhiqiang Rao; Hengchao Shang; Jiaxin Guo; Shaojun Li; Daimeng Wei; Hao Yang,2025,COLING,peer-reviewed conference,document-level post-editing,Uses monolingual data to improve LLM-based document-level APE,https://aclanthology.org/2025.coling-main.591/
